country,year,ihdi,development_status,numeric_development_status,global_north,annual_co2_per_capita
Netherlands,2021,0.878,very high human development,1,1,8.059
New Zealand,2021,0.865,very high human development,1,1,6.587
Nicaragua,2021,0.516,medium human development,3,0,0.739
Niger,2021,0.292,low human development,4,0,0.107
Nigeria,2021,0.341,low human development,4,0,0.642
North Macedonia,2021,0.686,high human development,2,0,3.257
Norway,2021,0.908,very high human development,1,1,7.573
Oman,2021,0.708,high human development,2,0,17.917
Pakistan,2021,0.38,low human development,4,0,0.992
Palestine,2021,0.584,medium human development,3,0,0.602
Panama,2021,0.64,high human development,2,0,2.995
Papua New Guinea,2021,0.397,low human development,4,0,0.855
Paraguay,2021,0.582,medium human development,3,0,1.279
Peru,2021,0.635,high human development,2,0,1.669
Philippines,2021,0.574,medium human development,3,0,1.267
Poland,2021,0.816,very high human development,1,1,8.577
Portugal,2021,0.773,high human development,2,0,3.965
Romania,2021,0.733,high human development,2,0,4.104
Russian ,2021,0.751,high human development,2,0,12.099
Rwanda,2021,0.402,low human development,4,0,0.13
Saint Lucia,2021,0.559,medium human development,3,0,2.705
Samoa,2021,0.613,medium human development,3,0,1.344
Sao Tome and Principe,2021,0.503,medium human development,3,0,0.592
Senegal,2021,0.354,low human development,4,0,0.806
Serbia,2021,0.72,high human development,2,0,4.23
Seychelles,2021,0.661,high human development,2,0,5.337
Sierra Leone,2021,0.309,low human development,4,0,0.154
Singapore,2021,0.817,very high human development,1,1,5.472
Slovakia,2021,0.803,high human development,2,0,6.481
Slovenia,2021,0.878,very high human development,1,1,5.921
South Africa,2021,0.471,low human development,4,0,7.34
South Sudan,2021,0.245,low human development,4,0,0.147
Spain,2021,0.788,high human development,2,0,4.92
Sri Lanka,2021,0.676,high human development,2,0,0.954
Sudan,2021,0.336,low human development,4,0,0.461
Suriname,2021,0.532,medium human development,3,0,4.557
Sweden,2021,0.885,very high human development,1,1,3.425
Switzerland,2021,0.894,very high human development,1,1,4.019
Tajikistan,2021,0.599,medium human development,3,0,1.06
Tanzania,2021,0.418,low human development,4,0,0.205
Thailand,2021,0.686,high human development,2,0,3.89
Timor-Leste,2021,0.44,low human development,4,0,0.557
Togo,2021,0.372,low human development,4,0,0.271
Tonga,2021,0.666,high human development,2,0,1.649
Tunisia,2021,0.588,medium human development,3,0,2.575
Turkey,2021,0.717,high human development,2,0,5.263
Turkmenistan,2021,0.619,medium human development,3,0,13.089
Tuvalu,2021,0.541,medium human development,3,0,0.708
Uganda,2021,0.396,low human development,4,0,0.126
Ukraine,2021,0.726,high human development,2,0,4.637
United Kingdom,2021,0.85,very high human development,1,1,5.154
United States,2021,0.819,very high human development,1,1,14.859
Uruguay,2021,0.71,high human development,2,0,1.967
Venezuela,2021,0.592,medium human development,3,0,2.828
Vietnam,2021,0.602,medium human development,3,0,3.345
Yemen,2021,0.307,low human development,4,0,0.378
Zambia,2021,0.39,low human development,4,0,0.394
Zimbabwe,2021,0.458,low human development,4,0,0.706
